gene_name,L_15_1,L_15_2,L_16_1,L_16_2,L_13_1,L_13_2,L_11_2,L_11_1,L_12_1,L_12_2
Gm10284,0.13,0.47,0.28,0.53,0.39,0.71,0.34,0.52,0.57,0.45
Sp140,4.98,4.88,4.13,3.98,2.17,3.96,2.85,3.4,2.51,2.7
Sp110,4.51,4.95,4.37,5.08,4.39,4.93,3.42,3.63,4.58,4.75
Fam149a,1.66,1.61,1.33,1.51,1.37,1.88,3.94,4.16,2.65,2.54
Fat1,1.05,0.79,0.65,0.6,0.73,1.01,5.9,5.7,1.54,1.51
Mfhas1,4.37,3.34,2.64,2.79,2.54,2.6,3.37,3.98,4.8,4.83
Mir451a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir433,0.6,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0
Mir470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
