gene_name,H9_1,H9_2,PP_1,PP_2,PC_1,PC_2,OC_2,OC_1,NC_1,NC_2,EC_1,EC_2
C16orf45,7.59,8.93,5.64,7.24,10.95,2.18,17.81,18.18,19.18,19.32,3.22,2.87
MARF1,10.15,10.68,30.01,30.42,31.21,22.94,30.88,30.52,26.44,22.61,16.98,17.88
SAA3P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAAL1,15.69,19.88,11.82,12.82,12.37,8.32,6.54,5.7,24.78,21.52,11.97,10.54
YPEL4,0.03,0.06,0.09,0.1,0.2,0.16,0.13,0.09,0.24,0.16,0.04,0.0
PPIB,198.33,198.1,205.07,224.71,228.27,254.64,259.89,285.48,175.07,173.87,263.98,250.71
LDHC,0.43,0.74,0.23,0.13,0.26,0.47,0.11,0.0,0.41,0.5,0.45,0.28
CIAO2A,36.51,34.06,21.95,24.51,28.88,25.13,12.59,12.46,29.11,28.35,25.36,24.84
LDHAL6A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM111A,7.67,9.21,23.77,23.96,11.76,12.23,16.0,18.55,11.35,10.04,6.82,5.17
PCLAF,33.98,30.0,14.08,11.28,19.01,7.13,4.52,3.03,38.89,36.12,15.14,13.13
KIF7,10.67,10.07,9.51,9.83,6.4,2.31,7.43,6.96,6.85,6.96,8.69,10.39
LDHD,6.62,6.73,0.37,0.29,0.73,0.29,0.46,0.49,0.04,0.24,0.72,0.62
PLIN1,0.02,0.04,0.1,0.18,0.24,0.23,0.26,0.32,0.32,0.24,0.04,0.05
PEX11A,0.65,0.6,2.01,2.2,3.52,3.69,2.09,1.75,3.15,3.4,1.29,1.22
TMEM170A,19.77,21.42,25.71,25.86,19.21,15.95,5.17,5.83,24.79,21.66,31.76,33.05
MESP1,0.03,0.01,0.21,0.23,0.85,0.91,0.78,0.84,0.51,0.97,0.0,0.1
ANPEP,1.64,1.61,0.74,0.75,23.3,86.48,34.64,36.53,0.2,0.33,1.02,1.5
SCNN1G,0.42,0.34,0.5,0.69,0.55,0.58,0.0,0.0,0.0,0.01,0.05,0.04
RBPMS2,84.22,82.73,16.6,16.91,8.16,2.69,1.78,1.47,17.81,17.28,59.5,59.51
NAV2,18.7,21.18,36.88,45.58,22.45,14.42,11.67,11.62,6.83,6.06,18.61,19.3
ANKDD1A,1.7,1.71,0.85,0.61,1.32,0.95,1.7,2.19,1.95,1.96,13.18,13.64
GLYATL1,0.97,1.26,10.57,10.62,1.87,1.06,0.0,0.05,1.17,0.81,2.78,2.28
C18orf54,10.56,9.88,5.11,5.68,7.63,1.59,2.38,2.05,13.44,11.95,7.96,8.1
DCTN5,52.3,52.11,37.13,35.97,32.42,32.7,24.29,26.68,42.08,41.47,38.25,41.27
TERF2IP,7.27,7.12,17.97,18.95,18.54,16.33,24.49,25.42,22.08,20.24,9.68,9.11
PLK1,62.9,63.92,15.1,13.71,27.84,9.06,6.64,6.39,52.53,46.32,37.41,34.87
CLPX,24.55,25.54,21.74,25.3,22.81,21.91,23.39,24.48,18.49,18.11,26.37,28.51
GPR182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB39,13.82,14.29,8.7,9.32,7.49,5.56,2.38,2.67,12.25,12.28,9.61,10.03
CACNG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.0,0.0
TAC3,2.02,2.84,1.73,2.37,1.28,1.22,0.0,0.0,0.13,0.22,0.85,0.82
MYO1A,0.01,0.12,0.51,0.74,1.79,8.16,0.0,0.03,0.11,0.17,0.56,0.76
CHP2,0.51,0.62,0.0,0.0,0.07,0.44,0.0,0.0,0.0,0.0,0.43,0.55
NEMP1,24.15,22.91,10.12,11.94,13.25,7.33,4.5,5.54,19.34,21.26,16.93,16.5
OR4D6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAB2,31.03,31.03,5.78,6.02,20.0,20.88,15.94,16.04,26.93,24.88,6.23,6.16
VPS39,19.91,22.24,37.1,38.47,31.79,26.75,30.41,30.36,25.69,24.4,25.32,27.48
STAT6,19.55,20.31,54.24,61.17,34.54,70.4,59.77,58.85,18.33,17.22,40.19,46.37
PATL1,14.83,14.35,18.26,19.37,15.47,14.73,14.63,15.31,16.08,15.18,16.14,18.65
ATP23,2.31,2.16,2.52,2.98,4.03,2.17,0.97,1.24,3.39,3.45,4.38,5.16
ELFN2,0.29,0.32,0.15,0.2,0.22,0.53,0.36,0.38,0.12,0.04,0.17,0.21
STX3,17.18,18.78,38.19,50.89,18.47,31.88,6.64,6.3,3.09,2.78,45.9,54.12
