,Control_78_Day_0_Rep3,Control_78_Day_0_Rep4,Control_78_Day_3_Rep1,Control_78_Day_3_Rep2,FSHD2_19_Day_0_Rep1,FSHD2_19_Day_0_Rep2,FSHD2_19_Day_3_Rep1,FSHD2_19_Day_3_Rep2
ENSG00000179840.5|PIK3CD-AS1,0,0,0,0,0,0,0,0
ENSG00000233268.3|AL691449.1,0,0,0,0,0,0,0,0
ENSG00000231789.2|PIK3CD-AS2,24,24,14,11,35,53,25,25
ENSG00000171603.17|CLSTN1,218,234,123,187,468,214,163,131
ENSG00000271264.1|MZT1P1,0,0,0,0,0,0,0,0
ENSG00000280113.2|AL357140.3,3,3,2,5,0,3,3,2
ENSG00000178585.14|CTNNBIP1,79,102,57,77,180,155,158,286
ENSG00000223989.1|AL357140.1,0,0,0,0,0,0,0,0
ENSG00000285701.1|AL357140.5,0,1,0,0,0,1,0,0
ENSG00000162441.11|LZIC,357,405,334,477,231,343,310,320
ENSG00000228150.1|AL357140.2,5,6,2,4,1,5,0,2
ENSG00000173614.13|NMNAT1,245,231,226,296,189,196,218,182
ENSG00000202415.1|RN7SKP269,4,2,1,1,1,3,4,5
ENSG00000283611.2|AL357140.4,0,0,0,0,2,0,0,0
ENSG00000265521.1|MIR5697,0,0,0,0,0,0,0,0
ENSG00000241326.1|AL603962.1,2,0,3,0,0,9,0,4
ENSG00000162444.11|RBP7,0,0,0,2,0,1,0,4
ENSG00000130939.18|UBE4B,289,291,313,420,461,606,271,602
ENSG00000224340.1|AL590639.1,0,0,1,0,0,0,0,0
ENSG00000233623.2|PGAM1P11,0,0,0,0,0,3,0,1
ENSG00000201746.1|RNU6-828P,0,0,0,0,0,0,0,0
ENSG00000054523.17|KIF1B,1342,1222,2473,4606,465,392,549,1788
ENSG00000264881.1|MIR1273D,0,0,0,0,1,0,0,1
ENSG00000199562.1|RNU6-37P,0,0,0,0,0,0,0,0
ENSG00000264501.2|RN7SL731P,27,1,139,164,32,23,44,43
ENSG00000284735.1|AL139424.3,5,5,2,11,7,7,5,5
ENSG00000284642.1|AL139424.2,2,6,3,5,9,13,4,2
ENSG00000142657.20|PGD,5780,6180,3592,4814,2905,5367,5143,5213
ENSG00000271989.1|AL139424.1,1,0,1,1,0,5,0,0
ENSG00000251503.8|CENPS-CORT,60,51,8,13,69,87,13,8
ENSG00000175279.21|CENPS,156,166,82,143,167,167,86,73
ENSG00000241563.3|CORT,6,6,3,7,10,4,3,3
ENSG00000160049.11|DFFA,928,950,601,852,965,936,628,747
ENSG00000203469.2|AL354956.1,0,0,0,0,0,0,0,0
ENSG00000142655.12|PEX14,164,175,241,283,248,376,177,286
ENSG00000243267.3|RN7SL614P,0,0,0,0,4,0,2,1
ENSG00000130940.14|CASZ1,14,13,462,757,1,1,373,514
ENSG00000272078.1|AL139423.1,0,1,1,3,0,0,2,1
ENSG00000225158.2|HSPE1P24,0,0,0,0,0,0,0,0
ENSG00000175262.14|C1orf127,0,0,0,0,2,0,4,3
ENSG00000215785.2|CFL1P6,0,0,0,0,0,0,0,0
ENSG00000120948.17|TARDBP,2716,2736,2198,2862,1858,2352,1867,1888
ENSG00000277726.4|AL109811.4,9,2,0,3,0,1,0,0
ENSG00000009724.16|MASP2,1,1,0,1,5,4,1,3
