gene_name,TC_M_43_1,TC_M_43_2,TC_F_21_1,ATC_M_43_2,ATC_M_43_1,ATC_F_21_3,ATC_F_21_4,ATC_F_21_1,ATC_F_21_2
GRWD1,637.24,664.93,602.69,929.58,807.59,1118.0,1189.77,1205.0,1035.0
GRIN2D,10.0,2.0,5.0,26.0,33.0,20.0,30.0,20.0,31.0
SYNGR4,0.0,0.0,0.0,3.0,5.0,2.0,4.0,2.0,7.0
CLEC11A,48.0,29.0,40.0,35.0,31.0,47.0,60.0,56.0,54.0
CCDC114,27.0,24.0,29.0,51.0,41.0,89.0,95.0,74.0,84.0
CARD8,3270.0,3280.0,2540.0,6109.0,5130.0,4383.0,4810.0,4493.0,4068.0
LIG1,842.0,854.0,1235.0,3458.0,3107.0,4626.0,4891.0,4565.0,4241.0
SIGLEC6,2.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
ZNF175,158.0,138.0,143.0,380.0,303.0,314.0,341.0,267.0,284.0
PLA2G4C,8.0,4.0,5.0,215.0,180.0,226.0,206.0,222.0,139.0
SIGLEC5,2.18,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0
CABP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAS1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
RAB3D,240.72,222.0,168.0,870.03,747.21,650.58,581.46,592.45,523.25
DBP,522.0,503.0,452.0,183.0,168.0,239.0,258.0,224.0,199.0
TMEM205,141.28,122.0,126.0,611.97,567.79,678.42,635.54,570.55,574.75
CAPS,1019.0,1128.0,913.0,627.45,506.0,381.23,396.0,349.0,337.0
PLPPR2,221.0,210.0,168.0,241.0,172.0,169.0,182.0,215.0,163.0
FAM83E,9.0,12.0,1.0,67.0,74.0,87.0,88.0,86.0,67.0
RASIP1,6.0,4.0,11.0,14.0,11.0,15.0,26.0,20.0,15.0
THEG,0.0,0.0,0.0,1.0,7.0,5.0,0.0,1.0,1.0
FGF21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
BCAT2,243.0,236.0,235.0,778.0,715.0,952.0,891.0,920.0,777.0
MIER2,204.0,214.0,213.0,519.0,452.0,530.0,588.0,573.0,485.0
PLEKHA4,6.0,12.0,42.0,173.0,116.0,256.0,249.0,246.0,207.0
PPP2R1A,2341.0,2491.0,1967.0,3778.0,3354.0,3882.0,4032.0,3646.0,3409.0
TNPO2,1056.0,1089.0,1144.0,2482.0,2164.0,2904.0,2914.0,2778.0,2546.0
WDR83OS,390.39,411.24,275.82,888.33,743.52,935.48,995.69,865.44,837.1
CACNG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCDH,437.0,419.0,471.0,410.0,322.0,405.0,449.0,377.0,332.0
LILRB5,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0
KLF1,1.0,1.0,1.0,12.0,5.0,8.0,4.0,9.0,7.0
DNASE2,271.0,272.0,214.0,910.0,721.0,730.0,755.0,728.0,614.0
MAST1,3.0,6.0,5.0,104.0,70.0,97.0,83.0,84.0,51.0
LENG1,117.0,143.0,106.0,56.0,56.0,75.0,71.0,72.0,83.0
PRPF31,744.0,795.0,714.0,1055.0,854.0,1071.0,1122.0,1126.0,950.0
TFPT,67.0,100.0,75.0,391.0,300.0,407.0,410.0,336.0,397.0
JAK3,7403.0,7553.0,8036.0,13939.0,11762.0,12464.0,12979.0,12249.0,11196.0
